"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_E;MGS.957"	2.73429461621565	0.0366941132842485	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp001916855;MGS.958"	3.90504487207216	0.0554037462228268	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp000434275;MGS.1005"	9.35414556231688e-16	8.09718382494652e-17	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas;Sellimonas avistercoris;MGS.222"	-1.39001766077378e-08	3.92660555297531e-08	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA11774;UBA11774 sp003507655;MGS.103"	2.59484706699385	0.0958543013926973	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium lactatiformans;MGS.14"	0.838517410028055	0.104077439900952	"non-sig"	"CD-HC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;QAMH01;QAMH01;QAMH01 sp900544245;MGS.641"	9.93327167200651e-16	8.99212198105703e-31	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635;MGS.845"	2.39198133050434	0.0403417749356137	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp900551715;MGS.1447"	7.79297998966129e-15	5.16288352585153e-15	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma;Merdisoma sp900066385;MGS.971"	1.63997472087247	0.0561216374948303	"robust"	"CD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium;Erysipelatoclostridium spiroforme;MGS.381"	-0.0176912264397313	0.00520357476903656	"non-sig"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis;MGS.1354"	2.94229310769507	0.0393895057847443	"robust"	"CD-HC"
