"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha;Scatomorpha intestinigallinarum;MGS.956"	0.0669141427406508	0.0435108178528562	"non-sig"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_E;MGS.957"	-3.67783668137911e-15	9.69957314136359e-16	"non-sig"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp001916855;MGS.958"	3.7675250683899	0.0840832092581034	"robust"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp000434275;MGS.1005"	0.474777791660679	0.362421875434526	"variable"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas;Sellimonas avistercoris;MGS.222"	-0.309983911671884	0.259906106394463	"variable"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA11774;UBA11774 sp003507655;MGS.103"	2.61366707683163	0.0984777009511532	"robust"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium lactatiformans;MGS.14"	1.21778783789391	0.101456693896279	"non-sig"	"UC-HC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;QAMH01;QAMH01;QAMH01 sp900544245;MGS.641"	0.210271364923077	0.00566816407256656	"non-sig"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635;MGS.845"	2.03795184553101	0.0421282015226744	"robust"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp900551715;MGS.1447"	1.67178451527753	0.0612539451351705	"variable"	"UC-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma;Merdisoma sp900066385;MGS.971"	1.16533475542247	0.0846726813854559	"robust"	"UC-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium;Erysipelatoclostridium spiroforme;MGS.381"	-0.263301123833443	0.0171534280506866	"non-sig"	"UC-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis;MGS.1354"	1.63891745071608	0.0468027350645686	"variable"	"UC-HC"
