"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha;Scatomorpha intestinigallinarum;MGS.956"	0.00437695488548987	0.0117186202396339	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_E;MGS.957"	-1.02050920986425e-15	2.11247651074899e-29	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp001916855;MGS.958"	3.52750869145449	0.0592539209605281	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp000434275;MGS.1005"	8.33562509279224e-16	2.99160960928202e-17	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas;Sellimonas avistercoris;MGS.222"	2.30013347010947e-15	2.39517109843988e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA11774;UBA11774 sp003507655;MGS.103"	2.12243080043724	0.0621876447565532	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium lactatiformans;MGS.14"	0.643074379725531	0.061424578296975	"non-sig"	"IBD-HC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;QAMH01;QAMH01;QAMH01 sp900544245;MGS.641"	2.89447047541599e-08	3.25012801202891e-08	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635;MGS.845"	2.00955294978248	0.0370997285459182	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp900551715;MGS.1447"	6.94465462308829e-15	4.52597459616373e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma;Merdisoma sp900066385;MGS.971"	0.249418012824096	0.512076369892344	"variable"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium;Erysipelatoclostridium spiroforme;MGS.381"	-3.07591270456043e-07	5.61605296089772e-07	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis;MGS.1354"	2.45847805594221	0.0317298190753484	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis;MGS.923"	4.52266340299603	0.0768588134105988	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A massiliensis;MGS.1521"	2.66747887175123	0.0727443575239654	"robust"	"IBD-HC"
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;MGS.1506"	3.35468373988813	0.114188315393825	"robust"	"IBD-HC"
"Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister invisus;MGS.5"	-0.727636088456218	0.0569835805321465	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis;MGS.403"	2.39000374658143	0.0519367743102665	"robust"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemania;Holdemania filiformis;MGS.1470"	-5.03673330929468e-15	3.513893124817e-29	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus;MGS.1516"	1.78501807132557	0.0427855553728974	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp001517625;MGS.772"	-0.260476748984041	0.041826345115178	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Copromorpha;Copromorpha excrementipullorum;MGS.89"	1.22910225633995e-08	1.72024082528331e-08	"non-sig"	"IBD-HC"
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Parasutterella;Parasutterella gallistercoris;MGS.1345"	0.140223222196452	0.0445978980721711	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313;CAG-313 sp000433035;MGS.767"	3.26631644294175e-08	1.46007304470717e-07	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella stercorea;MGS.469"	1.36396363692109e-08	2.87638772673525e-08	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp002404795;MGS.908"	2.67270264134616	0.0591347001360231	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus;MGS.846"	3.12427169632867	0.0818124146366959	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E bromii_B;MGS.989"	5.03510843100542	0.0662456951997962	"robust"	"IBD-HC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis;MGS.1006"	-0.14465809406215	0.0495252501224313	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;HGM13222;HGM13222 sp900757485;MGS.102"	3.47876901266037e-06	3.49024338453685e-06	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella atypica;MGS.959"	-1.08633036286832	0.0557561139298373	"variable"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp000177015;MGS.214"	-1.60786302175923e-15	1.24282183642134e-15	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA11471;UBA11471;UBA11471 sp000434215;MGS.337"	8.5875275129465e-16	0	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladousia;Choladousia sp902363135;MGS.272"	0.980704576184565	0.0747407321726485	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA3402;UBA3402 sp003478355;MGS.101"	-5.036733309294e-15	3.26702521920042e-29	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium sp000437715;MGS.1381"	0.465876104723187	0.0138012794730556	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Intestinibacter;Intestinibacter bartlettii;MGS.899"	-0.198294768559277	0.0292691891480254	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_D;MGS.992"	3.20823528811969	0.0755721780129137	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;HGM13006;HGM13006 sp900756575;MGS.770"	7.44792449548661e-16	8.93321849774477e-17	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis;MGS.13"	0.345702513315016	0.0674574703271179	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Faecalibacillus;Faecalibacillus intestinalis;MGS.947"	2.31716470847626	0.0791995611332823	"robust"	"IBD-HC"
