"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha;Scatomorpha intestinigallinarum;MGS.956"	0.355592427781609	0.115369314885518	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_E;MGS.957"	8.42345706673078e-07	2.69071586905932e-06	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp001916855;MGS.958"	0.324739858458744	0.0659933807183383	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp000434275;MGS.1005"	0.0893180844276999	0.0713003692079357	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas;Sellimonas avistercoris;MGS.222"	0.0974949264228904	0.0433917014622408	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA11774;UBA11774 sp003507655;MGS.103"	0.428265674731915	0.0829740168145447	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium lactatiformans;MGS.14"	0.00103052005935956	0.0822176120018855	"non-sig"	"CD-UC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;QAMH01;QAMH01;QAMH01 sp900544245;MGS.641"	0.0766068066769344	0.0553414355360419	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635;MGS.845"	0.478074019324647	0.0416838997753408	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp900551715;MGS.1447"	-1.39152838120588e-06	8.07602159452626e-06	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma;Merdisoma sp900066385;MGS.971"	3.12391652847895e-05	2.90142062567465e-05	"non-sig"	"CD-UC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium;Erysipelatoclostridium spiroforme;MGS.381"	0.134604255488661	0.0236498512131154	"non-sig"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis;MGS.1354"	0.967916927610383	0.0467621521993923	"robust"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis;MGS.923"	1.67458542332865	0.108644746820453	"robust"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A massiliensis;MGS.1521"	1.24058505563828	0.0715797617008985	"robust"	"CD-UC"
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;MGS.1506"	-0.940108319326346	0.135688459450992	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister invisus;MGS.5"	-0.0820684777760534	0.168882829187152	"non-sig"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis;MGS.403"	0.359073055694554	0.0549240420521584	"non-sig"	"CD-UC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemania;Holdemania filiformis;MGS.1470"	1.00273634669049e-06	2.46976431362447e-06	"non-sig"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus;MGS.1516"	-0.0689184539027253	0.0634643675919722	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp001517625;MGS.772"	-0.849525691059257	0.131243371603555	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Copromorpha;Copromorpha excrementipullorum;MGS.89"	0.0235529282642173	0.0296414183732006	"non-sig"	"CD-UC"
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Parasutterella;Parasutterella gallistercoris;MGS.1345"	0.633774100138482	0.148407182251533	"non-sig"	"CD-UC"
"Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313;CAG-313 sp000433035;MGS.767"	0.0231503717305569	0.0284242647559687	"non-sig"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella stercorea;MGS.469"	-8.4920074600385e-16	2.36428110023023e-15	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp002404795;MGS.908"	0.281700761340909	0.0612078705378478	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus;MGS.846"	1.5299591855235	0.111870414464883	"variable"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E bromii_B;MGS.989"	0.294859136946204	0.16993887500215	"non-sig"	"CD-UC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis;MGS.1006"	-0.157991339675248	0.077208122720695	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;HGM13222;HGM13222 sp900757485;MGS.102"	-3.79610660533324e-15	9.41040830446343e-15	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella atypica;MGS.959"	-0.53384347093	0.110323063167204	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp000177015;MGS.214"	0.354711227740552	0.0887525554245053	"non-sig"	"CD-UC"
